4.1252797507116603e-134,6.168557237107518e-124,1.0365329314292451e-109,7.153232308807622e-98,5.169279470918762e-87,5.371713447956627e-77,7.721982061758659e-68,8.614382846536004e-60,4.272916574287984e-52,1.818403964914708e-43,3.3479691858046556e-36,8.106042134951086e-30,2.9317184667394584e-24,1.3345048261763342e-19,1.2930492217768613e-16,1.1651279471486199e-11,8.54946717166356e-8,0.00006399832812567726,0.007901761609588892,0.18372418902658652,0.8488067699346428,0.7976054766466093,0.1534205443682562,0.0059931233934481356,0.00004628017232093538,6.62353644399268e-8,1.4771045275639547e-11,2.3337196438853757e-16,5.607439218502552e-21,3.352507755818656e-25,1.2293929203580612e-30,6.32943949088608e-37,4.995700228518046e-44,4.902729446635808e-52,5.876956138088781e-62,2.895461992616579e-69,4.3038586926582594e-78,6.564684564371369e-88,1.4967298376436184e-98,5.074507195789668e-110,1.6991751341435307e-122,3.3901018466226013e-136,9.638503477270204e-148,5.034163504523896e-161,3.345782316442664e-175,3.43205287420688e-190,4.958402732016084e-206,4.485682904987855e-223,8.767578468750094e-240,2.878275280342807e-256,6.240883892142596e-274,1.928461625502793e-292,9.27645926703e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4351143003139813e-146,7.341519850395228e-134,6.145245798797608e-124,1.8200302417856167e-109,1.1881142261964817e-97,8.221439936736791e-87,8.200006098213467e-77,1.1292495546367176e-67,1.182080495954206e-59,6.431934629548872e-52,2.499934475922104e-43,4.415742248775114e-36,1.0313380239174182e-29,3.600838799934373e-24,1.574872557093181e-19,1.3315832569271462e-16,1.3745145076834865e-11,9.636419693960252e-8,0.00006991683965778,0.008397584280896316,0.19028777118173504,0.8578467371249643,0.7873523480637911,0.14804402345107937,0.005656609246068965,0.0000427409768344243,5.983689113167561e-8,1.3021892752859022e-11,1.966364238032466e-16,5.057003979909521e-21,2.885357272675737e-25,1.0348740288146593e-30,5.229493430572739e-37,4.0532851355777026e-44,3.892230041274801e-52,4.1130333436021875e-62,2.3271998950291645e-69,3.379065426230214e-78,5.078747677134415e-88,1.1432768962237764e-98,3.826334430211324e-110,1.2562864886316933e-122,2.749489267839968e-136,7.256023375277717e-148,3.743016747846394e-161,2.467457695766869e-175,2.5134751786292674e-190,3.6030701946932574e-206,3.190378079750728e-223,6.554849215005706e-240,2.112526122177174e-256,4.560078887583782e-274,1.4062181414610804e-292,6.755375658506e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.080342108465056e-160,2.6551723249354193e-146,1.2861973297684207e-133,4.904109306416841e-124,3.1458155541242995e-109,1.945849051726993e-97,1.2906789847207174e-86,1.2367468608741422e-76,1.633149829874971e-67,1.605277380396068e-59,9.538843174182641e-52,3.403419264251148e-43,5.774370713047278e-36,1.302254019207255e-29,4.3933312272986e-24,1.8479892497139162e-19,1.3576858718520613e-16,1.6117011908694724e-11,1.0815196937004943e-7,0.00007613416674174914,0.008903393665030358,0.1967855505125165,0.8663774377681495,0.7773235984874951,0.1429895657884604,0.0053483700063446825,0.000039574726567572665,5.424338890925235e-8,1.1530405794384225e-11,1.6659751109139798e-16,4.573929246503938e-21,2.497427634995805e-25,8.770466291285096e-31,4.35412836621912e-37,3.3172028323923243e-44,3.1201322013769496e-52,2.8996451878184514e-62,1.8883904027769223e-69,2.682418953055108e-78,3.976719637517762e-88,8.846841698794805e-99,2.925631324629508e-110,9.430198494332192e-123,2.247905390034756e-136,5.545809338577705e-148,2.8288130328914334e-161,1.8514129525493708e-175,1.874558882762832e-190,2.6689911958356436e-206,2.316937266942589e-223,4.991556256485631e-240,1.5826256869809237e-256,3.4045404763313867e-274,1.0487133718874982e-292,5.03599405682e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97954419333172e-174,1.1579255038361343e-159,4.832013113582462e-146,2.2184454593276448e-133,2.419106122017546e-124,5.352945257164078e-109,3.1425370789902375e-97,2.0001536582660787e-86,1.8430398117807036e-76,2.3359369284062896e-67,2.157598925216463e-59,1.394425581071112e-51,4.588585223447442e-43,7.486958787467068e-36,1.6319719321208025e-29,5.324922402070684e-24,2.1562887330535303e-19,1.3701498145026097e-16,1.8785542847706724e-11,1.2086927357432186e-7,0.00008263795007792284,0.009417678479808811,0.20320248289901144,0.8744125659712403,0.7675404176458372,0.13824156601588589,0.005065981667893036,0.000036739231233089786,4.9344472250065e-8,1.0255110015126358e-11,1.4193971885656426e-16,4.149792937818322e-21,2.174041140140621e-25,7.483602598522928e-31,3.6534548061542023e-37,2.7384518983047386e-44,2.5256886984669424e-52,2.059397795728081e-62,1.5470972387280095e-69,2.1530879400518043e-78,3.151598505158883e-88,6.935305482754449e-99,2.2683836975331832e-110,7.187136421332876e-123,1.8538737004810082e-136,4.303516251605663e-148,2.1731287762710963e-161,1.4134102027130461e-175,1.423761279007174e-190,2.0154698461991575e-206,1.718218465424351e-223,3.8719853933394655e-240,1.2102383653623635e-256,2.597244051401057e-274,7.998913813476677e-293,3.84323710434e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.765211277330574e-189,7.785833694380315e-174,2.1670918381267257e-159,8.65001457641499e-146,3.767381765925994e-133,1.0501968302111562e-125,8.968101843727864e-109,5.004911657540543e-97,3.059883711505181e-86,2.713921272766266e-76,3.304598141374312e-67,2.870430141352181e-59,2.0101259119384116e-51,6.126966492976112e-43,9.625571623008494e-36,2.029883735244988e-29,6.411820080763762e-24,2.502027235018689e-19,1.3680889188359304e-16,2.1767509552124382e-11,1.3451789103782967e-7,0.00008941254751172075,0.009938823532768785,0.2095238360430736,0.8819667252527482,0.7580218915480141,0.13378516553552483,0.004807250438022211,0.00003419754924043876,4.50462601299164e-8,9.161748784045438e-12,1.216220270101842e-16,3.777208882962519e-21,1.9034492041078466e-25,6.429324999559201e-31,3.0894433000822712e-37,2.28044684300287e-44,2.0646037787454247e-52,1.4736887563888703e-62,1.279778995946225e-69,1.747491658714486e-78,2.5280506870545025e-88,5.508007752507771e-99,1.783551611462873e-110,5.561787110574125e-123,1.543132880049871e-136,3.390691708831517e-148,1.6969752372752105e-161,1.0978770008736866e-175,1.1012806799954353e-190,1.5515678821229403e-206,1.3012679494621374e-223,3.059756901216307e-240,9.44690751887745e-257,2.0246163395045504e-274,6.239968966545964e-293,3.002566387076e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6729832229450007e-205,7.586171265515774e-189,1.4956124250034436e-173,3.9860329244769677e-159,1.5232897925561852e-145,6.2995589077641356e-133,2.9137888408649717e-124,1.479440293880574e-108,7.861054501189091e-97,4.6212978639174625e-86,3.949018667494145e-76,4.624040113678153e-67,3.780223990235939e-59,2.858515329109939e-51,8.10291550677479e-43,1.2271219497560195e-35,2.5060500519299396e-29,7.670384561506138e-24,2.8872107694701895e-19,1.350995512385545e-16,2.5077178927793303e-11,1.490891307860264e-7,0.00009643899216308899,0.0104651180840679,0.21573523709632317,0.8890552590441544,0.7487851400713954,0.12960625090985695,0.004570191201866913,0.00003191730766346263,4.1268775666936857e-8,8.22195743362712e-12,1.0481794447526621e-16,3.4497210398171995e-21,1.676215426012476e-25,5.561601082493688e-31,2.6329534490797973e-37,1.915708655220075e-44,1.7043576890975122e-52,1.0627246364260406e-62,1.068971510204504e-69,1.4341645045135275e-78,2.0525816760785426e-88,4.4318556037087515e-99,1.42212722259989e-110,4.3703469567936884e-123,1.2970484819455655e-136,2.7125181481127412e-148,1.347050287173329e-161,8.676974040417947e-176,8.675413002697122e-191,1.217700384616748e-206,1.0064917847853441e-223,2.4633355949280535e-240,7.527368174391257e-257,1.6127068354162686e-274,4.978718248278081e-293,2.40147524536e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5292258628863506e-221,5.68204671019409e-205,1.4990518541150427e-188,2.8209697269898283e-173,7.205987262840643e-159,2.6390537339147236e-145,1.0372654237433246e-132,2.326884158584559e-123,2.4033797844197316e-108,1.2177452736892634e-96,6.890661187094166e-86,5.678462179056e-76,6.400181859758014e-67,4.9285783470338554e-59,4.011343827336971e-51,1.0614289234146382e-42,1.551344176833929e-35,3.0710466600727994e-29,9.116732058267892e-24,3.3135189262377563e-19,1.3187855251548507e-16,2.8725680572016536e-11,1.6456295949903102e-7,0.00010369499118877895,0.010994765111004431,0.2218227143505911,0.8956940900715302,0.7398454536296558,0.12569144771608332,0.004353008016585377,0.000029870114522370283,3.794377613844378e-8,7.412192946174413e-12,9.08691685015188e-17,3.1617012559695585e-21,1.48473475729909e-25,4.8442508055908785e-31,2.2615411028765557e-37,1.6234763143294477e-44,1.4209155223692742e-52,7.72488216674236e-63,9.016371850741751e-70,1.1902137908341849e-78,1.6868835038753763e-88,3.612839608620745e-99,1.149967432650259e-110,3.487219816100791e-123,1.101329855769745e-136,2.203376513412785e-148,1.086974037285798e-161,6.977824866690112e-176,6.960197019870706e-191,9.743039496795177e-207,7.951302225531811e-224,2.0205463762628889e-240,6.122648938166482e-257,1.3126749853816887e-274,4.062957630680479e-293,1.96634459355e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.11931807406948e-237,2.918919028952182e-221,1.1812992822230626e-204,2.905355438214911e-188,5.2247534805287404e-173,1.280432582450773e-158,4.4981758123773534e-145,1.681931186573934e-132,8.795225925467226e-123,3.845141146598778e-108,1.8605676288269562e-96,1.0144146622749718e-85,8.069404870530957e-76,8.762996657904494e-67,6.362082759357364e-59,5.556464675769015e-51,1.3772665936527085e-42,1.9449404425044743e-35,3.735756727988245e-29,1.0766272664394335e-23,3.7822268069633324e-19,1.2718281223551756e-16,3.2720372510466087e-11,1.8090726214068803e-7,0.00011115496840346267,0.011525891412805776,0.22777273462388295,0.9018995656268985,0.7312164276318285,0.12202811078373108,0.004154076472485982,0.00002803105049193885,3.50129396938312e-8,6.712867711519963e-12,7.924966501154489e-17,2.908253385026514e-21,1.3228576103243521e-25,4.248715481372072e-31,1.9578320835578457e-37,1.387973400873845e-44,1.1963958426447964e-52,5.661865909684719e-63,7.679825384444042e-70,9.988587631452374e-79,1.4032960401649365e-88,2.9839606618867567e-99,9.430550127957754e-111,2.8256763317096422e-123,9.450187718732702e-137,1.817388638720562e-148,8.916404291424156e-162,5.709740943451489e-176,5.687212775143704e-191,7.947697060992545e-207,6.416208799175597e-224,1.6886712834035858e-240,5.083765152548659e-257,1.0918270658119723e-274,3.3912670152714565e-293,1.64832368847e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8340467459714865e-254,8.45297326335264e-237,5.455596170306467e-221,2.4024458423784918e-204,5.5232839772675405e-188,9.502614904901868e-173,2.2364105721658997e-158,7.543432796058774e-145,2.685926359099281e-132,2.494883858311908e-122,6.0590158670197985e-108,2.8039430340622147e-96,1.4745075416251442e-85,1.1332885751499039e-75,1.1869265674130604e-66,8.131882238935626e-59,7.599418985019075e-51,1.7702935790039474e-42,2.41824322389342e-35,4.511106283487569e-29,1.2633188837945055e-23,4.2941272626400567e-19,1.2109570731684286e-16,3.7064220845625977e-11,1.98077259152291e-7,0.00011879014916791364,0.012056558403903204,0.23357223545571654,0.9076883117485417,0.7229100942714364,0.11860431171832661,0.003971927757441946,0.00002637822915431918,3.242634754545955e-8,6.107647295703011e-12,6.953775554832869e-17,2.6851250833200964e-21,1.1855950787489583e-25,3.752357547682954e-31,1.7083102799099836e-37,1.1971432243211641e-44,1.0174089425574648e-52,4.1860622120487e-63,6.60606225818709e-70,8.477085178437921e-79,1.1816859199609807e-88,2.497051811175123e-99,7.843363304985043e-111,2.3252091879161965e-123,8.197049041330425e-137,1.5221601593456235e-148,7.435378429280677e-162,4.754054304692346e-176,4.7329369155743484e-191,6.609806133301395e-207,5.288794964003315e-224,1.4380447716613317e-240,4.309114200170543e-257,9.280054532279243e-275,2.895218600980855e-293,1.41459280032e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.137771649183626e-271,1.2308101057525375e-253,1.6990238541285177e-236,9.985333724196314e-221,4.780462303161563e-204,1.0299991819263524e-187,1.6972728809500745e-172,3.839709111882751e-158,1.2447076857919815e-144,4.224508566462723e-132,6.040335750632278e-122,9.404269114004788e-108,4.168197070249315e-96,2.116283714142976e-85,1.573063223932223e-75,1.5904741621132787e-66,1.0292911035057418e-58,1.0264498268600182e-50,2.2542106515535906e-42,2.9819910541796166e-35,5.407742890933548e-29,1.4729864009057016e-23,4.8494557077362885e-19,1.137461753947138e-16,4.1755216609262424e-11,2.1601510020475694e-7,0.0001265686924784574,0.012584773596645346,0.23920865285276893,0.9130770963078053,0.7149370501042908,0.11540882393653151,0.0038052342725658026,0.00002489241639729834,3.014121251445585e-8,5.582879619649378e-12,6.139435145765007e-17,2.488628194051348e-21,1.068887090675346e-25,3.3371596746307213e-31,1.502410250297063e-37,1.0417207968453292e-44,8.738650329551808e-53,3.123646440908214e-63,5.7388169914133164e-70,7.275484955017456e-79,1.0072835947595971e-88,2.1171916835347673e-99,6.6159196276610305e-111,1.943184279107179e-123,7.18923722406901e-137,1.294600841036562e-148,6.303271844489986e-162,4.027814823775288e-176,4.011634615640521e-191,5.604588656239189e-207,4.453451894011158e-224,1.2478668289884504e-240,3.7286591067914554e-257,8.060310610986363e-275,2.528160020066187e-293,1.242883857187e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.409061843900084e-290,2.4546860400737704e-271,2.5411166483022713e-253,3.345188548920067e-236,1.789845191667311e-220,9.308634149930842e-204,1.8842684070638912e-187,2.977227634708003e-172,6.480624454918368e-158,2.020934440614225e-144,6.544595576164317e-132,1.3182105442780627e-121,1.4378471762442763e-107,6.112269788609603e-96,2.999260082728992e-85,2.158123743095686e-75,2.1085361663165125e-66,1.2902760089795607e-58,1.3695027307755679e-50,2.8437173225040536e-42,3.647051422503228e-35,6.435660412991895e-29,1.706627476062872e-23,5.447820013087818e-19,1.0530566046015806e-16,4.678584776024105e-11,2.3464966317034568e-7,0.00013445586583958984,0.013108502570776679,0.24466994417827095,0.9180826996221005,0.7073065793727179,0.1124311063027076,0.0036527966511950586,0.00002355670080691766,2.8120811965419884e-8,5.12713022664364e-12,5.4545943029270297e-17,2.3155674463010094e-21,9.694194897554118e-26,2.988725456355003e-31,1.3318346583557961e-37,9.145483387417926e-45,7.581142963917929e-53,2.3540702724588265e-63,5.0350734953824963e-70,6.314793985351665e-79,8.691729143414261e-89,1.8188567284254286e-99,5.659900603026543e-111,1.6492748007213036e-123,6.37697479452178e-137,1.1181062722324328e-148,5.432314350852414e-162,3.472466881477303e-176,3.463195020301596e-191,4.8452108116135016e-207,3.8310708842786073e-224,1.103437838277276e-240,3.293703710012773e-257,7.154207781602119e-275,2.2580582078993847e-293,1.11800378299e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.31476943062808e-309,7.516637252326347e-290,5.177937379984142e-271,5.134428007638087e-253,6.452049551184624e-236,3.1422110517911458e-220,1.774078313512019e-203,3.381731242589804e-187,5.1291357649672093e-172,1.0752917267412837e-157,3.228819495129512e-144,9.987157542635465e-132,2.6675992080420915e-121,2.1656841436465696e-107,8.842013153057645e-96,4.197445152937739e-85,2.9264980894466996e-75,2.7657102459267623e-66,1.6020158160880983e-58,1.805258856587116e-50,3.5541925960909356e-42,4.4240751282985566e-35,7.603776122461967e-29,1.9649363534628924e-23,6.088137996456491e-19,9.598295390848356e-17,5.214264864545176e-11,2.538965718858813e-7,0.00014241426533640803,0.013625681409861227,0.2499446074231395,0.9227217947649969,0.7000267724193764,0.10966128520405838,0.0035135320809858385,0.00002235620809632853,2.6333591326167495e-8,4.730802988712142e-12,4.8771263063384154e-17,2.163177388647229e-21,8.844793107071361e-26,2.695508829205089e-31,1.1900384798222868e-37,8.100677351268415e-45,6.643226954873416e-53,1.7932445800978947e-63,4.461768842122574e-70,5.543020640048866e-79,7.592285213188839e-89,1.5832496804252163e-99,4.9109502047891865e-111,1.4217156791450854e-123,5.721869123361727e-137,9.806403629324655e-149,4.759543207758352e-162,3.0463165473033465e-176,3.045105556147913e-191,4.2707200191055606e-207,3.367024271620662e-224,9.943158219520205e-241,2.9702147475466713e-257,6.489080747097732e-275,2.0628898594136725e-293,1.02960929165e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.976929890161607e-309,1.6188806345186865e-289,1.067968439341884e-270,1.0153467625967446e-252,1.2191441581264922e-235,5.403301447694588e-220,3.309755045514453e-203,5.954550863656804e-187,8.678955027891145e-172,1.7540632382772313e-157,5.07646725509269e-144,1.501346728615749e-131,5.089543922793183e-121,3.213665708923551e-107,1.261864171667746e-95,5.801005817540904e-85,3.9226406892062957e-75,3.5894045383442923e-66,1.9703067558506384e-58,2.3514910373081445e-50,4.401260698338317e-42,5.323084686324728e-35,8.91947000584387e-29,2.2482412370517354e-23,6.768585165625303e-19,8.601700960023543e-17,5.780584758408992e-11,2.736584497839176e-7,0.00015040407774331507,0.01413422945763675,0.255021695610099,0.9270108356852582,0.6931046383026634,0.1070901361229725,0.0033864637838555583,0.00002127785374385673,2.475241002580953e-8,4.385830044725142e-12,4.389080320501192e-17,2.029066944760424e-21,8.118399409446795e-26,2.4482176122881955e-31,1.0718374998225212e-37,7.239422933524816e-45,5.880162388599775e-53,1.38217698325359e-63,3.9933650612787114e-70,4.9207514991747043e-79,6.713628954937547e-89,1.3964302711397836e-99,4.321825035090198e-111,1.2447600296586527e-123,5.194277366194769e-137,8.734195258290743e-149,4.2394759906419114e-162,2.7194726525549478e-176,2.7271050575840057e-191,3.8380785260929104e-207,3.02337293065476e-224,9.130795215297e-241,2.7344262882938848e-257,6.014775109015391e-275,1.9276565146996062e-293,9.70778820855e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6.575645445053763e-309,3.4058889916183644e-289,2.153877486392993e-270,1.9652233046974463e-252,2.2569216624438242e-235,9.101790423256168e-220,6.045269916872642e-203,1.028714370103933e-186,1.4424488802297771e-171,2.8131420114867303e-157,7.854611228572428e-144,2.223449417492692e-131,9.252353607775931e-121,4.6984707392070695e-107,1.776661145304591e-95,7.91744454878215e-85,5.197365285496806e-75,4.6094228692814e-66,2.400641901561471e-58,3.0272163261109026e-50,5.4002385942991736e-42,6.353003756074097e-35,1.038809984971092e-28,2.556444111779912e-23,7.486555016100491e-19,7.56680677236662e-17,6.374913166321251e-11,2.9382541758962575e-7,0.00015838338326026733,0.01463206226958098,0.2598908284043295,0.9309659548714381,0.6865462120998362,0.10470906449114284,0.0032707115588083684,0.000020310128478667084,2.335390663938578e-8,4.085417743250743e-12,3.975855020171678e-17,1.9111709808029093e-21,7.496697510516824e-26,2.239350165663177e-31,9.73109877459233e-38,6.527734578077904e-45,5.257463866709799e-53,1.0792527570847384e-63,3.610051220490959e-70,4.4179509786045687e-79,6.009891474232376e-89,1.2479975971471544e-99,3.8576237669858e-111,1.1069370606279139e-123,4.77131673504505e-137,7.90002765230654e-149,3.8391049599356146e-162,2.4704209779605417e-176,2.4875921511501796e-191,3.5168597317565546e-207,2.7737721893706697e-224,8.544949141896253e-241,2.569937135699057e-257,5.697342366273432e-275,1.842458595454839e-293,9.37105239975e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.4170624210339e-308,6.999898806513431e-289,4.247800214789366e-270,3.7230971994738236e-252,4.093598138427989e-235,1.5020393636733658e-219,1.0811560948275884e-202,1.7438049369259883e-186,2.3548388296952636e-171,4.435911854478807e-157,1.1960559287452467e-143,3.2441979855142754e-131,1.614163338364304e-120,6.768435359010627e-107,2.467994409549728e-95,1.0671997030491487e-84,6.807346079214685e-75,5.857291076118548e-66,2.8979540748254233e-58,3.8521465983029033e-50,6.565469367042102e-42,7.521139507670245e-35,1.201250918243623e-28,2.88896555015681e-23,8.238634362551261e-19,6.520737377944072e-17,6.993954551695846e-11,3.1427584272927375e-7,0.00016630849505740031,0.015117104695325645,0.2645421994815309,0.934602867794511,0.6803566560184471,0.1025100867960288,0.003165483308006878,0.00001944291257346573,2.2117963747187673e-8,3.823838231281751e-12,3.625545580181154e-17,1.8077081642525778e-21,6.964592163500278e-26,2.062834229420054e-31,8.905677212869675e-38,5.938876572611545e-45,4.748430563129727e-53,8.549613138727837e-64,3.29640585427551e-70,4.011632136923822e-79,5.446352943598128e-89,1.1301550050496322e-99,3.492440664689732e-111,9.998495559042683e-124,4.435365757380907e-137,7.256583662792188e-149,3.5344548393974717e-162,2.283689755734282e-176,2.3111990191287506e-191,3.2857009720215576e-207,2.6001292078689893e-224,8.149553753858916e-241,2.4658055706722604e-257,5.5149739610738276e-275,1.8012810669819542e-293,9.2614208427e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.979539233940237e-308,1.4054620597390948e-288,8.192314470024934e-270,6.904161737659938e-252,7.275182991151204e-235,2.4286748891807547e-219,1.8935030413873094e-202,2.900540127855402e-186,3.776305189083079e-171,6.877581932219743e-157,1.7925025323903323e-143,4.663881606347873e-131,2.7162199178419925e-120,9.607720263956946e-107,3.3825766187285106e-95,1.420692743404303e-84,8.814083137090595e-75,7.36529654486252e-66,3.466336035840784e-58,4.8459491679974245e-50,7.909554166819585e-42,8.832634895566828e-35,1.379254839836161e-28,3.2446972008986494e-23,9.020595411321391e-19,5.490604403264928e-17,7.633754032959184e-11,3.348773376966812e-7,0.00017413433245286905,0.015587304015515259,0.2689665817293663,0.9379367865513732,0.6745403545616321,0.10048581133525405,0.0030700674315380784,0.000018667314690781604,2.1027256628788922e-8,3.596258127463393e-12,3.328426404845297e-17,1.7171446244146576e-21,6.509626530021695e-26,1.9137445322957273e-31,8.21581603227098e-38,5.4517521298763285e-45,4.332313885509115e-53,6.882746504396117e-64,3.0403976727270086e-70,3.6841527428691146e-79,4.996657443307073e-89,1.0370425238460218e-99,3.2070036242680504e-111,9.17338415958583e-124,4.172939070969706e-137,6.769212643880026e-149,3.308206834810744e-162,2.148254726508321e-176,2.1871512753756056e-191,3.1299358914282156e-207,2.4904213394507444e-224,7.921118322563249e-241,2.4153308995064846e-257,5.455489798603553e-275,1.8012810669819523e-293,9.37105239975e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.112885053131233e-308,2.7569720495471993e-288,1.545136735987837e-269,1.2532860865453418e-251,1.266936253907872e-234,3.848060313393049e-219,3.2478568682313376e-202,4.734318629677965e-186,5.9488751882826415e-171,1.0484951412039307e-156,2.6440323472734134e-143,6.606531044543875e-131,4.425068886807942e-120,1.343927483233632e-106,4.5743633626644386e-95,1.867938977568208e-84,1.1282242314272515e-74,9.165228048255116e-66,4.108749174575945e-58,6.027318983437896e-50,9.442504750305113e-42,1.028991267208683e-34,1.5724631757839357e-28,3.6219646286244896e-23,9.827406435958002e-19,4.502358822643545e-17,8.289718152868431e-11,3.554879976849739e-7,0.00018181482456893842,0.01604064291043199,0.27315532898984407,0.9409823408551539,0.6691010033006352,0.09862941973031611,0.0029838260256147887,0.000017975532541036297,2.006687250165228e-8,3.3985975767563935e-12,3.076540254536498e-17,1.638162540443177e-21,6.12151554470886e-26,1.788081396490519e-31,7.640452938177325e-38,5.0496814188393667e-45,3.9929520894983667e-53,5.6414750317973286e-64,2.832636499062561e-70,3.421963529910974e-79,4.640793025204592e-89,9.64258160670542e-100,2.9869998683498875e-111,8.548996896177784e-124,3.973847815751175e-137,6.412835724007339e-149,3.148060967281204e-162,2.056454283587397e-176,2.1081691390216825e-191,3.0400388703660945e-207,2.437307449556422e-224,7.84639923884456e-241,2.4153308995064846e-257,5.514973961073826e-275,1.8424585954548398e-293,9.7077882085e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.2237891401510265e-307,5.283850939737826e-288,2.850117101309941e-269,2.2271021048149428e-251,2.1620179485825512e-234,5.975224423544803e-219,5.456649130460205e-202,7.583202567285916e-186,9.206204204442245e-171,1.57177517349675e-156,3.8387430085271084e-143,9.221688193026257e-131,6.998965212067168e-120,1.8525786046483265e-106,6.103910818698765e-95,2.4257548421979766e-84,1.4277307450915066e-74,1.1286822849449672e-65,4.8267334888525304e-58,7.412878657706498e-50,1.1170848837103191e-41,1.1892137409750585e-34,1.78013546556037e-28,4.018503081000491e-23,1.0653261987454873e-18,3.579671590234616e-17,8.956652367932117e-11,3.7595787725600254e-7,0.00018930333682962147,0.01647515226832382,0.277100375957757,0.9437535069039578,0.6640416917475888,0.09693464898659268,0.0029061888216832662,0.00001736073215909141,1.9223989230419726e-8,3.227414161799307e-12,2.863371769466868e-17,1.5696332677386248e-21,5.791771700329184e-26,1.6825968043505223e-31,7.162712314382013e-38,4.719471644511222e-45,3.71774917838916e-53,4.717847153074141e-64,2.6658106707496762e-70,3.214686290557953e-79,4.363623170805998e-89,9.085139548118643e-100,2.8218875651730214e-111,8.09277628824701e-124,3.830580013113403e-137,6.169797612094141e-149,3.0456202315295053e-162,2.003265151794225e-176,2.0697527069723245e-191,3.0106498127610575e-207,2.4373074495564156e-224,7.921118322563248e-241,2.4658055706722574e-257,5.69734236627343e-275,1.927656514699605e-293,1.02960929165e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
