1560,1559.7979797979797,1559.5959595959596,1559.3939393939395,1559.1919191919192,1558.989898989899,1558.7878787878788,1558.5858585858587,1558.3838383838383,1558.1818181818182,1557.9797979797981,1557.7777777777778,1557.5757575757577,1557.3737373737374,1557.171717171717,1556.969696969697,1556.7676767676767,1556.5656565656568,1556.3636363636365,1556.1616161616162,1555.959595959596,1555.7575757575758,1555.5555555555557,1555.3535353535353,1555.151515151515,1554.9494949494951,1554.7474747474748,1554.5454545454545,1554.3434343434344,1554.141414141414,1553.939393939394,1553.7373737373737,1553.5353535353534,1553.3333333333335,1553.1313131313132,1552.9292929292928,1552.7272727272727,1552.5252525252527,1552.3232323232323,1552.121212121212,1551.919191919192,1551.7171717171718,1551.5151515151515,1551.3131313131312,1551.1111111111113,1550.909090909091,1550.7070707070707,1550.5050505050506,1550.3030303030305,1550.1010101010102,1549.8989898989898,1549.6969696969695,1549.4949494949497,1549.2929292929293,1549.090909090909,1548.8888888888887,1548.6868686868688,1548.4848484848485,1548.2828282828282,1548.080808080808,1547.878787878788,1547.6767676767677,1547.4747474747473,1547.2727272727275,1547.0707070707072,1546.8686868686868,1546.6666666666665,1546.4646464646464,1546.2626262626263,1546.060606060606,1545.8585858585861,1545.6565656565658,1545.4545454545453,1545.2525252525252,1545.050505050505,1544.8484848484848,1544.6464646464647,1544.4444444444443,1544.2424242424242,1544.040404040404,1543.8383838383838,1543.6363636363637,1543.4343434343436,1543.2323232323233,1543.030303030303,1542.828282828283,1542.6262626262626,1542.4242424242425,1542.2222222222224,1542.0202020202023,1541.818181818182,1541.6161616161614,1541.4141414141413,1541.212121212121,1541.010101010101,1540.8080808080808,1540.6060606060607,1540.4040404040404,1540.2020202020203,1540
0.0008202152674826947,0.00044084370898027434,0.00006157163693673721,0.00006561120700009474,0.0005423387786964808,0.001162099952950928,0.0014174327869861244,0.0010630330322857094,0.000380668108812646,7.157542004835754e-7,0.0003775180779600003,0.001346084222706968,0.002177412061216467,0.0021583357646848904,0.0012481597046931413,0.00022540070180126484,0.00010992547961062701,0.001270117814959354,0.0029764261131689,0.0038817954128438775,0.003148853849676702,0.001310593486022379,0.00003554499960638439,0.0008139264211009326,0.0035594358399650278,0.006380105007862373,0.006952773068884382,0.0045744367039161574,0.0011702446835343146,0.00012371935506609718,0.0035101038429557934,0.009872251265447848,0.01467948107293303,0.013722753851486644,0.007152647238533809,0.000710075453940809,0.002245245887698791,0.015202614042454928,0.033873933936401576,0.04521450750445204,0.03811871706071186,0.015377064467338473,0.0000010297395945212737,0.02929844652338955,0.13687732287969684,0.3308815914374903,0.5809467166496706,0.8232674454688188,0.9838509958508188,1.0096520813681271,0.8920871026366771,0.6707950716206614,0.41575580430347103,0.19714642455549763,0.05818340737058922,0.0035476148773002586,0.006800904575948455,0.030115103694336533,0.044358100273270085,0.03949971692001886,0.022365248506339943,0.006201388348878838,0.000010372607072964355,0.0038297540987045514,0.011127304923353572,0.01488202393184056,0.012462583256818658,0.0063595001655728295,0.0012373507552047042,0.0001381825821463644,0.002640116595168338,0.005850399306020392,0.006965348817119181,0.005276488892858897,0.0022937313205103394,0.00024067121551066338,0.00029714321216449543,0.0019064807390626562,0.0034710134658316803,0.0036980243105446562,0.0025051395221270686,0.0008906091764320446,0.00002556519008787328,0.0003568464317840783,0.0013812834215324696,0.002158379847128404,0.0020732633485202575,0.001247907612042265,0.0003457349585608114,6.007345049543211e-7,0.0003472722388822611,0.0009886065096932593,0.0013638445963797456,0.0011891214103866912,0.0006322952496259066,0.00012748906595248352,0.000015577700200629726,0.0003016194716040006,0.0006946083767665444,0.0008629053579046923
0.0008692951222850568,0.0008176396848537876,0.00043619466082571277,0.0000591891560924269,0.00006825370348645762,0.0005485408374541856,0.0011670667014873233,0.0014170155951541844,0.0010575207830954946,0.0003749760733568304,4.485267453234619e-7,0.0003840234367920964,0.0013548196325019316,0.0021814095031566045,0.0021541792646560115,0.0012393992299839702,0.00022010803365030097,0.00011397747500935582,0.001281741424595393,0.00298697351446128,0.003882701639855082,0.003139257680441527,0.0012989513650435455,0.0000331750163116145,0.0008253111385047689,0.0035774771204379607,0.006391059468534495,0.006947626916743999,0.004557478631511438,0.0011569885065800826,0.00012870040876404763,0.0035339487048917035,0.009899206888860073,0.014688950909294965,0.013706767942950449,0.007125009936438863,0.0006980685978204759,0.0022682810576616585,0.01525389562954537,0.03392116588195953,0.04522254179721567,0.03807979206036919,0.015326098550282627,0.000001677685673922671,0.029405623095747117,0.13709966215055638,0.3311695469793096,0.5812161353285935,0.8234449460663642,0.9839127181551715,1.00963172764299,0.892049685670963,0.6707950716206614,0.4158072858749894,0.19722264255800148,0.05824247459386609,0.003563953962036243,0.006780692079944816,0.03008743082981689,0.04435132029430565,0.03952160056503926,0.02240055616958667,0.006226354579177497,0.000011472109906571984,0.0038125199187328874,0.011109925559613095,0.014880267654988235,0.012478279056631372,0.006380791428324419,0.0012492314375328643,0.00013426333568628636,0.002626597251904994,0.0058400512980737035,0.006967104857569,0.0052890084328568844,0.0023074528611745685,0.0002459515701098949,0.0002916714657957175,0.0018963632562735509,0.0034653000946101445,0.003701488013202711,0.0025150088898110035,0.0008993939263374202,0.000027245573159460568,0.000351368737338959,0.0013740660291698629,0.0021556622716123112,0.002077243801264175,0.0012554189461461607,0.00035115558778709766,3.8689864652072374e-7,0.0003424912777891115,0.000983709763252746,0.0013629582679638426,0.0011929186792853643,0.0006377907581621442,0.00013064911924910467,0.000014496407670844712,0.00029778332830938275,0.0006914576331144783
0.0005709797514048447,0.0008709093981322118,0.0008151268175617044,0.0004317308558524017,0.0000569437769283929,0.00007083398036250032,0.0005544935538380232,0.0011717845224295672,0.0014165631333385538,0.0010522307595371488,0.00036957225601821664,2.516948349012747e-7,0.0003902551231320566,0.0013631097223492793,0.0021851466494891107,0.0021501857334515675,0.001231104668926213,0.00021515901582430815,0.00011786485647776222,0.001292709163593685,0.0029968455868702748,0.0038834802664714846,0.003130234847485447,0.0012881054811966952,0.000031040348446910534,0.0008359477052307078,0.003594185598131581,0.00640110922685762,0.0069428160722776674,0.004541908033108092,0.0011449343866552864,0.00013331521403809203,0.0035555765406045134,0.009923443825124556,0.01469734234840077,0.013692485899449384,0.00710062308012866,0.0006876386580182945,0.0022883416314451906,0.015297894790792866,0.033961088819259445,0.04522914333187458,0.038047876123498296,0.015285344630901549,0.0000022907687348446503,0.029486152275029792,0.13725859268394233,0.33136156873201494,0.5813777828943608,0.8235336747158278,0.9839332801426031,1.0096317276429905,0.8920871026366771,0.6708996765238313,0.4159617405237876,0.19737512179645747,0.05834099568862642,0.003588539281765931,0.006752429623819736,0.030050507307472142,0.04434253870420715,0.03954890506148666,0.02244371679212597,0.006256376193314213,0.000012843443874799245,0.0037924410158580463,0.011089836163021132,0.014878191075511773,0.01249602189210439,0.006404759476950282,0.0012625746738722764,0.00012997187836221526,0.00261166735395364,0.00582862221686163,0.006968961850556803,0.005302633684622391,0.0023223947305856286,0.00025173639927248266,0.00028581230300106877,0.001885464820795926,0.0034591120147631424,0.003705141546481242,0.0025255414599051427,0.0009087999630403225,0.000029093618460463032,0.0003455844222188358,0.0013663965316926367,0.0021527335393988034,0.0020814058967620203,0.0012633433555022768,0.0003569085357613609,2.1232365585990696e-7,0.0003374871205021746,0.0009785459759763778,0.0013619819335800353,0.0011968633309981896,0.0006435474440505474,0.00013399140133847192,0.000013407239765728937,0.00029379109283815454
0.00018218695881762947,0.0005751223695787008,0.0008724205173612797,0.0008126814659478246,0.0004274528014115009,0.0000548307914905383,0.00007334581831019464,0.000560194626905568,0.0011762574643447601,0.0014160827376907376,0.0010471672608178013,0.0003644537027247223,1.1693307347840077e-7,0.0003962063236090489,0.001370955394061952,0.0021886320175935905,0.0021463643809867014,0.0012232776885552827,0.0002105454349103389,0.00012157576297608304,0.0013030156251943106,0.00300604875616073,0.003884144968121339,0.0031217947655140755,0.001278052026166379,0.000029125749994675142,0.000845821507028645,0.0036095601105499233,0.006410268957259971,0.006938359688485938,0.00452773188629754,0.0011340691185106114,0.00013753907282980872,0.0035749710060122464,0.009944969135213607,0.014704682476587601,0.013679933350383571,0.0070794872547813425,0.0006787553521848124,0.0023053861411606235,0.015334591274996024,0.033993723894094774,0.04523436318370536,0.038023010231693154,0.015254790242263186,0.0000027872231486107606,0.02953990823893606,0.13735399790991698,0.3314575951699318,0.5814316648940578,0.8235336747158281,0.9839127181551713,1.0096520813681271,0.8921993262711536,0.6711088683913919,0.4162191980454969,0.19760394873140047,0.0584790841676453,0.003621462934979968,0.006716152370101078,0.030004310647515128,0.044331707140530655,0.039581596914833046,0.022494734241912943,0.006291486971718593,0.000014522684504709666,0.003769530385368322,0.01106702139007335,0.014875766413038907,0.012515794373363217,0.006431409450206054,0.0012774019741393257,0.00012532837723509816,0.0025953310100908216,0.0058160990663909395,0.006970901633220132,0.005317355849218901,0.0023385633924278893,0.0002580411170516993,0.000279577620267324,0.0018737852271115388,0.0034524383827698067,0.003708972829651319,0.0025367333360284757,0.0009188338696396507,0.00003112046642982827,0.0003395003448357603,0.0013582727416930108,0.002149584982091836,0.0020857417389166973,0.001271679718797904,0.00036299974242763144,8.490139691189311e-8,0.00033226347367180665,0.0009731122721612451,0.0013609089500064451,0.0012009503746138216,0.0006495656422386215,0.00013752086883819326,0.000012315633246681254
7.256515015466622e-7,0.0001854713037297917,0.0005790868085241078,0.0008738330491950447,0.0008103081963249713,0.00042336089767459727,0.000052845631132474346,0.00007578328673958435,0.0005656419486039151,0.0011804894722614238,0.0014155814056007595,0.001042334300739336,0.0003596175053108936,3.6301189768111724e-8,0.0004018706397929483,0.0013783576094873514,0.0021918737240013398,0.0021427238634856975,0.0012159197463340226,0.00020625947742635957,0.0001250990655775236,0.001312655843059377,0.00301458914441393,0.0038847085305140586,0.0031139461132296065,0.0012687873485797336,0.000027417045961794163,0.0008549191163573609,0.003623599733046042,0.00641855219872246,0.006934275229191792,0.004514956401901366,0.0011243806326779653,0.00014134974021094305,0.0035921175483127955,0.009963789225884787,0.014710995247425303,0.01366913266439409,0.007061602830028607,0.0006713926311376844,0.0023193794885174434,0.015363968401042118,0.034019088513642284,0.045238242247694654,0.03800522619539746,0.015234425941019165,0.0000031085332005868923,0.029566807201212013,0.1373858075657896,0.33145759516993173,0.5813777828943606,0.8234449460663642,0.983850995850819,1.0096927118338856,0.892386272946264,0.6714226119162539,0.41657970991803445,0.1979092535301866,0.058656899074714205,0.0036628479840182223,0.006671905877849407,0.02994881293635576,0.04431876648673287,0.03961963571682423,0.02255361295129167,0.006331726248901639,0.00001655154373207685,0.0037438030794551833,0.011041463990069793,0.014872962410447403,0.012537576910918427,0.00646074690214359,0.0012937370576780872,0.0001203551065250698,0.0025775928659013776,0.005802467780072809,0.006972904437140725,0.00533316525489888,0.0023559656840818582,0.0002648823024676208,0.0002729802940427603,0.0018613244043224782,0.003445267677278324,0.003712968916922308,0.002548580242628311,0.0009295025348711383,0.00003333793890282702,0.0003331238725668926,0.001349692463623591,0.002146207483229068,0.0020902429397302194,0.0012804267400818837,0.00036943538580879847,1.2944696535415234e-8,0.00032682432433085685,0.0009674057275661627,0.0013597323781503255,0.0012051745220695988,0.0006558456062128644,0.00014124264919513477
0.00012448837894046136,9.565812498002248e-7,0.00018864055046810814,0.0005828738873664913,0.0008751514067406784,0.0008080113438421937,0.00041945544605937786,0.00005098387582239816,0.00007814074550077416,0.0005708335853230713,0.0011844843763685515,0.001415065795990923,0.0010377356189421095,0.0003550608180853508,2.2497183059858026e-9,0.00040724207780084654,0.0013853173741173626,0.002194879473758941,0.0021392722898788148,0.0012090321177446453,0.00020229373862369623,0.00012842436535870694,0.001321625275086931,0.003022472548621068,0.0038851828418506765,0.003106696847961922,0.0012603079549585593,0.000025901145905620215,0.0008632282721059341,0.003636303720598571,0.006425971339177255,0.00693057847567769,0.004503587081252149,0.001115858034803645,0.00014472742373828728,0.0036070034180786365,0.009979909800397363,0.014716301485689235,0.013660102970727313,0.007046970002581258,0.000665528705776197,0.002330292973034082,0.015386012823967935,0.03403719631437913,0.045240811220243975,0.037994546714079085,0.015224245423765537,0.0000032195450395026707,0.029566807201212013,0.13735399790991698,0.3313615687320148,0.5812161353285936,0.8232674454688188,0.983748004805723,1.009753465147309,0.8926478039113112,0.671840854579874,0.41704334617950045,0.19829120916234425,0.05887464481334611,0.003712848510810581,0.006619746076157785,0.02988398091078153,0.044303646864777856,0.03966297415578911,0.022620357717489423,0.006377138907761094,0.00001897740971607082,0.0037152762658564436,0.011013144854702929,0.014869744324139926,0.012561347688827025,0.006492777738585365,0.0013116058395228124,0.00011507647414682373,0.0025584581860750035,0.00578771323005382,0.006974948868853985,0.0053500513283612355,0.0023746088029608877,0.00027227769477849875,0.000266034205172285,0.001848082433353393,0.0034375877166971406,0.0037171159943562267,0.0025610774946601815,0.0009408131386266816,0.00003575853857709921,0.00032646289711285066,0.0013406535171811794,0.0021425914951374797,0.0020949006059606317,0.0012895829313967627,0.00037622186097778585,5.189759652655644e-9,0.0003211739521648431,0.0009614233870700332,0.0013584449860701332,0.0012095301804619623,0.0006623874944334098
0.0003986386052106111,0.00012218564331844918,0.0000012076788515259036,0.00019169172116644467,0.0005864844585044477,0.0008763798429672853,0.0008057950167490519,0.00041573666338279547,0.000049241261218393573,0.00008041284005259284,0.0005757677729932157,0.0011882458820825286,0.0014145422279114174,0.001033374692628167,0.0003507808677008544,7.625206885765516e-9,0.0004123150406151596,0.0013918357212371858,0.002197656551503448,0.0021360172240858163,0.001202615900920206,0.0001986412416622157,0.00013154199299294877,0.001329919783664331,0.0030297044181631753,0.0038855788930660506,0.0031000542218130307,0.0012526105677956906,0.000024566058138689682,0.0008707378745671588,0.003647671498116776,0.006432537594156412,0.006927283529725355,0.004493628728269284,0.0011084916373945261,0.00014765479554161462,0.003619617608729884,0.009993335851620504,0.014720618826891482,0.013652860173808137,0.007035588887039487,0.0006611460938193263,0.002338104258787759,0.015400714612076278,0.034048057071187326,0.0452420905832026,0.037990985391629095,0.01522424542376554,0.000003108533200586851,0.029539908238936066,0.13725859268394233,0.3311695469793097,0.5809467166496702,0.8230010855425017,0.9836035644391532,1.0098341101999133,0.8929837246180508,0.6723635244683748,0.41761019700844404,0.1987500316409019,0.05913257142992159,0.0037716498690459547,0.006559739691434383,0.029809776122850757,0.04428626767268687,0.039711557837847355,0.022694973686569274,0.006427775271500818,0.000021853382273810553,0.0036839693099290365,0.010982043085186837,0.014866073930432657,0.012587082599503745,0.006527508143080989,0.0013310363980657582,0.00010951905211436083,0.00253793286854757,0.005771819286394687,0.006977011910042713,0.005368002550707922,0.0023945002620774864,0.0002802461794072457,0.00025875426141693664,0.001834059590329136,0.003429385671358139,0.0037213993709016647,0.002574219974285137,0.0009527731335517811,0.00003839544850310084,0.0003195258527015942,0.0013311537518864852,0.002138727038834433,0.0020997053307841964,0.0012991465924390572,0.0003833657750744027,7.079858955973446e-8,0.0003153169448071188,0.0009551622778130801,0.0013570392529288966,0.0012140114382697051
0.0005695779695948607,0.0003961972979344901,0.00011999677524975844,0.0000014750708094973237,0.00019462200901546425,0.0005899193986964775,0.0008775224458462741,0.0008036630992233324,0.00041220468846394845,0.00004761368793529109,0.00008259450215628261,0.0005804429031148113,0.0011917775566196492,0.001414016678006768,0.0010292547444454348,0.00034677497015077167,4.567490496620357e-8,0.00041708431913197553,0.001397913698164596,0.0022002118111683127,0.0021329656977237413,0.0011966720450302696,0.0001952954494899396,0.00013444300568535793,0.001337535622552031,0.0030362898336463422,0.0038859067681308894,0.003094024804813156,0.001245692116748884,0.000023400899546240894,0.0008774379668808472,0.0036577026160285447,0.006438260969129662,0.006924402821514877,0.004485085479002874,0.001102272982389591,0.00015011699446541033,0.0036299508704860928,0.010004071580118293,0.014723961739023848,0.013647416974252192,0.007027459505159761,0.0006582316636064666,0.0023427974159885533,0.015408067168990744,0.0340516766703321,0.04524209058320257,0.037994546714079064,0.015234425941019165,0.000002787223148610946,0.029486152275029803,0.1370996621505564,0.3308815914374903,0.5805695182108457,0.8226457360711683,0.9834174219241505,1.0099343390280813,0.8933937843596903,0.6729905322452493,0.4182803718498552,0.19928597976628146,0.059430974678202825,0.003839468925361264,0.006491964407048729,0.029726155036748164,0.04426653753274362,0.03976532523622338,0.022777466145480332,0.006483691105873293,0.00002523832289404615,0.0036499038650010056,0.010948136062584242,0.01486190951889928,0.012614755172619927,0.006564944574308707,0.0013520589693258335,0.00010371160226667404,0.002516023511341208,0.0057547688258366815,0.006979068908411948,0.005387006423236035,0.0024156478574609026,0.0002888077868571521,0.00025115642032814424,0.00181925637523402,0.003420648081589976,0.0037258034625749143,0.0025880021062150834,0.0009653902120857019,0.000041262530714535834,0.000312321737773787,0.0013211910797251934,0.002134603717858087,0.00210464718614561,0.001309115793205869,0.0003908739291487652,2.193610530934359e-7,0.0003092582125117371,0.0009486194225832771,0.001355507372855674
0.0004983236755536846,0.0005690972223719457,0.0003938548240837853,0.000117920135619326,0.0000017550453693934011,0.0001974287734638723,0.0005931795992568434,0.0008785831329231156,0.0008016192578563846,0.0004088595941388439,0.00004609722672132033,0.00008468094624118015,0.0005848575119768284,0.0011950828216758097,0.001413494782918176,0.001025378755667315,0.00034304054435699294,1.1005095268401518e-7,0.0004215450827935289,0.001403552343791495,0.0022025516681879456,0.0021301242106353305,0.0011912013632954593,0.00019225028213965169,0.00013711918449542805,0.0013444694092284582,0.0030422334965175754,0.0038861756451933293,0.003088614495265974,0.0012395497912696906,0.00002239590651930315,0.0008833197312839235,0.0036663967356869104,0.0064431502674282045,0.006921947113097515,0.004477960850493662,0.0010971948782079754,0.0001521016296190298,0.003637995645910464,0.010012120369437133,0.014726341479884308,0.013643782897351037,0.007022581887620066,0.0006567766452488203,0.002344362855817305,0.015408067168990744,0.034048057071187326,0.045240811220243975,0.03800522619539746,0.015254790242263182,0.0000022907687348445838,0.029405623095747117,0.13687732287969687,0.33049779412123215,0.5800845279004327,0.8222012235305509,0.9831892523439619,1.010053766390209,0.8938776763301204,0.6737217691774202,0.4190539996204906,0.19989935558712052,0.05977019615063897,0.003916554438569177,0.006416509168044081,0.02963306932454787,0.044244354308818755,0.039824207534275693,0.022867840534074237,0.0065449475370541535,0.00002919690233878371,0.0036131039704983712,0.010911399501584089,0.014857205892309731,0.012644336567880788,0.006605093638592033,0.0013747059138341266,0.00009768510844367433,0.002492737474816837,0.005736543780869767,0.0069810935714906845,0.0054070494330852245,0.0024380596231038873,0.00029798367836636046,0.0002432577159104938,0.0018036735341613562,0.0034113608812655015,0.003730311791709758,0.0026024178265855995,0.0009786722981594484,0.00004437432573217615,0.0003048601303042597,0.001310763484565829,0.0021302107267199156,0.0021097157071948377,0.0013194883540960133,0.00039875330589164,4.6089671300074406e-7,0.00030300300149989183,0.0009417918577687232
0.0002566715705183114,0.0005000148973094591,0.0005686174774973913,0.00039161266745576926,0.00011595411421684689,0.0000020440543333285377,0.0002001095364696869,0.0005962659590826857,0.0008795656482975097,0.0007996669438672288,0.0004057013939344313,0.000044688126072763465,0.00008666766726339378,0.0005890102744114307,0.0011981649441428948,0.0014129818339161406,0.0010217494718818664,0.00033957511852795346,1.9481418552553566e-7,0.00042569287079034595,0.001408752684817276,0.0022046820908015806,0.002127498738644538,0.0011862045477227746,0.00018950012275100787,0.00013956303377784247,0.0013507181234289304,0.0030475397029344218,0.003886393791214387,0.003083828533459803,0.0012341810338488614,0.000021542443451635186,0.0008883754658664736,0.0036737536093537464,0.006447213060590296,0.0069199255035072745,0.0044722577283018245,0.001093251410431687,0.00015359878596880487,0.0036437460860646526,0.010017484795196065,0.014727766102637182,0.013641964274261183,0.007020956015034791,0.0006567766452488226,0.002342797415988558,0.015400714612076281,0.034037196314379126,0.04523824224769466,0.03802301023169318,0.015285344630901556,0.0000016776856739228041,0.029298446523389542,0.13659173901866142,0.3300182786133755,0.5794917313508492,0.8216673319208044,0.9829186589699233,1.0101919298113016,0.8944350366401902,0.6745571074974721,0.4199312272101333,0.2005905032802201,0.060150623378856974,0.004003187149440016,0.006333474629102011,0.029530465948697036,0.044219605134302266,0.03988812847634117,0.022966102078878066,0.00661161099954388,0.00003379965384142061,0.003573596164607772,0.010871807549731737,0.01485191437253658,0.012675795436367161,0.006647962042681754,0.0013990116928866985,0.00009147281071307434,0.0024680829226273646,0.005717125176665804,0.006983057957609356,0.005428116997568595,0.0024617438034761465,0.0003077961392750026,0.00023507627671754642,0.0017873121254011483,0.003401509411417369,0.003734906967650544,0.0026174605519022104,0.0009926275071734545,0.00004774604732667269,0.0002971512106627772,0.0012998690636534334,0.0021255368606586415,0.002114899888975869,0.0013302618219509126,0.00040701105269463266,8.058562569403969e-7,0.0002965569124572478
0.000044026353726413084,0.00025900057808504295,0.0005016137816300997,0.000568141663898287,0.00038947220553271707,0.00011409713800392345,0.000002338715085912057,0.00020266197649346907,0.0005991793778448423,0.0008804735577867129,0.0007978093960976291,0.0004027300537968145,0.00004338281888404292,0.00008855043919855301,0.0005928999911690243,0.0012010270258956224,0.0014124827827376267,0.001018369415776131,0.0003363763476210685,2.9443749963834453e-7,0.0004295235848650908,0.0014135157166141003,0.0022066085957485005,0.002125094741580751,0.0011816821838948328,0.00018703983385060362,0.0001417677781747083,0.0013562790845875498,0.0030522123379608675,0.003886568561307116,0.0030796715115774588,0.0012295835730169655,0.00002083301191518819,0.0008925985972299425,0.003679773057324678,0.006450455671840239,0.006918345433500714,0.004467978400396563,0.0010904379569611343,0.00015460102401160188,0.003647198008655557,0.010020166574667918,0.01472824043820979,0.013641964274261183,0.0070225818876200686,0.0006582316636064676,0.0023381042587877583,0.015386012823967935,0.03401908851364227,0.04523436318370533,0.038047876123498324,0.015326098550282621,0.0000010297395945213233,0.02916478985431019,0.13624312091210036,0.32944320006363337,0.5787911104986077,0.8210438017111277,0.9826051735148714,1.0103482894773508,0.8950654447521816,0.6754963989943881,0.4209122203074377,0.2013598095667185,0.06057268965729888,0.004099680430707236,0.006242973428393588,0.029418287499110837,0.04419216638726335,0.03995700424734393,0.023072255792660576,0.0066837531729173625,0.00003912302561689778,0.003531409611545829,0.010829332851335397,0.014845982795638141,0.012709097916029427,0.006693556509619456,0.0014250128319854278,0.00008511023644780937,0.002442068915998237,0.005696493172722831,0.006984932473936906,0.005450193435935337,0.002486708786905862,0.00031826856666719827,0.00022663136237095687,0.0017701735366765841,0.003391078452666758,0.003739570683574769,0.0026331231554215027,0.0010072641314076442,0.000051393582740027105,0.00028920578223776854,0.001288506040556688,0.002120570530596254,0.0021201881699671756,0.001341433448659304,0.00041565446708361473,0.000001265122546516158
0.000012900075494633906,0.00004519988065619348,0.00026122128375620106,0.0005031221765954075,0.0005676725672550579,0.0003874347142546233,0.00011234767583523616,0.000002635812081990315,0.00020508392374147237,0.0006019207462592097,0.0008813102464518646,0.0007960496470731811,0.00039994549796141014,0.000042177926596300135,0.00009032531315017036,0.0005965255829920958,0.0012036719981331843,0.0014120022364237908,0.0010152408927000475,0.00033344201758944697,4.038088154140547e-7,0.00043303348385288797,0.0014178423941607961,0.002208336238723643,0.0021229171625892626,0.0011776347605128126,0.0001848647622614534,0.00014372736309975118,0.0013611499428108865,0.0030562548618656023,0.003886706393794568,0.003076147388624585,0.0012257554327456271,0.000020261255269320155,0.0008959836493594513,0.003684454960042969,0.006452883179053922,0.006917212681909007,0.00446512457203971,0.001088751210395888,0.0001551033829775133,0.0036483489312619157,0.010020166574667911,0.014727766102637178,0.013643782897351029,0.007027459505159759,0.0006611460938193283,0.002330292973034081,0.015363968401042118,0.033993723894094774,0.0452291433318746,0.0380797920603692,0.015377064467338478,4.51790343239671e-7,0.029004862340341105,0.13583172631447693,0.32877274427340963,0.5779826458900739,0.8203303331707368,0.9822482564576819,1.0105222280264254,0.895768422096094,0.6765394752933578,0.4219971617375175,0.202207703113722,0.06103687471830828,0.004206380426925102,0.0061451306951041205,0.02929647239163364,0.044161903712536345,0.04003074323857663,0.02318630619707339,0.006761450867064534,0.00004524944595826475,0.0034865762197334336,0.010783946706930305,0.014839355521602524,0.012744207502063934,0.006741883678736592,0.0014527478955044563,0.00007863523733967497,0.002414705442035958,0.0056746271195999625,0.006986685863770914,0.005473261902540976,0.0025129630796921097,0.0003294254512066798,0.0002179433795660668,0.001752259538540344,0.0033800522412737767,0.003744283704812435,0.002649397919830732,0.0010225905993925441,0.00005533348638507384,0.000281035289583873,0.001276672801081034,0.0021152997736874728,0.0021255684269891975,0.0013530001680135304,0.00042469097625005234
0.00015313889011611673,0.00001231370379376129,0.00004632976133148989,0.000263333186035328,0.0005045418665140173,0.0005672128309100402,0.0003855013722716024,0.00011070424509535181,0.0000029322980292183636,0.00020737335539494333,0.0006044909412390246,0.0008820789142084206,0.0007943905248427244,0.0003973476178911632,0.00004107026632666103,0.00009198861422737312,0.000599886078968965,0.0012061026102583043,0.0014115444596623891,0.0010123659992164924,0.00033077006042901735,5.182337697622521e-7,0.0004362191738646568,0.0014217336175878217,0.0022098696105033854,0.0021209704384575704,0.0011740626857076875,0.00018297075192721585,0.00014543644961099902,0.0013653286627515547,0.0030596702903628774,0.0038868128109930274,0.003073259497591042,0.0012226949497777665,0.00001982196487836116,0.000898526255104684,0.0036877992266426615,0.006454499395593272,0.006916531380406392,0.004463697380723858,0.0010881891828428308,0.00015510338297751387,0.0036471980086555575,0.010017484795196067,0.014726341479884294,0.013647416974252188,0.007035588887039484,0.0006655287057761962,0.0023193794885174434,0.015334591274996024,0.033961088819259445,0.045222541797215667,0.038118717060711876,0.015438257606089075,7.159082365069392e-8,0.02881891459001345,0.13535785964251096,0.32800712946075633,0.5770663164012223,0.8195265835767783,0.9818472967980851,1.010713050512339,0.8965434324343668,0.6776861463912437,0.4231862513538429,0.2031346547105274,0.061543704410618266,0.004323666760525348,0.0060400844697535115,0.029164955158964268,0.044128672038266925,0.0401092459820736,0.023308257181702683,0.006844786003174558,0.000052267381509442527,0.0034391307776179465,0.010735619068769166,0.014831973434857844,0.012781085021825409,0.0067929500618360925,0.0014822574487067775,0.00007208802436593172,0.002386003524466871,0.005651505593691408,0.006988285210351159,0.0054973043690996325,0.0025405152328573217,0.0003412923720731583,0.0002090339184357154,0.001733572320315962,0.0033684144975735346,0.003749025860976944,0.0026662765207917834,0.001038615453807219,0.000059582977152816466,0.0002726518435590082,0.001264367919262451,0.0021097122657116212,0.0021310279630832587,0.001364958574119747
