2.192222690643895e-7,0.0000028776786650737063,4.1077445684858094e-7,0.000002672311387477738,0.000003895755850893491,3.369351142506862e-7,0.000008106747493905274,0.000001863928261279255,0.000006173354521445625,0.000012168210452939102,2.136771842695038e-7,0.00002098159056051023,0.00000797247709912627,0.000011921563472145785,0.00003569363798592707,8.153069831783113e-8,0.00004864484388890943,0.00003093142208551942,0.000017534624383343123,0.00009611407119189761,0.0000057179010256982556,0.00009769269018972571,0.00010693757968678268,0.000015156613019041194,0.00023261488843644422,0.000049575873197397254,0.00016087914542531318,0.0003275526568245942,0.000001120171567489133,0.000495136081903668,0.0002569626198572077,0.00019243573172570525,0.0008920002773614289,0.00004882373924726921,0.0009014421742105289,0.0010323219932756177,0.00010689439965693336,0.002198315903825484,0.0006391623023669939,0.0013318875073381913,0.003696436334267577,0.000024259238376774845,0.005201038415345524,0.004491360102787326,0.0013338078507729946,0.014721545414875931,0.003304201762556756,0.015403241937155698,0.04418670023468982,0.0000030469476646404133,0.22434802622159375,0.822920597109097,0.9679083235903491,0.4177680493630969,0.02205988773998364,0.0297897554366039,0.03196385340012576,0.000022649475380641877,0.013650664840412049,0.006536613305096353,0.0010091512868109086,0.0069775277249169414,0.0011177350964739169,0.0018304319228665982,0.0032876107824219374,0.00003909008413760868,0.0018134184242301038,0.0013016009544795063,0.00008291824289379489,0.001356668420238513,0.0003796681270111723,0.00027512732673030954,0.0008262528884092524,0.00005464272767082792,0.00035329499358113776,0.00041393124220791906,4.0384560952236994e-7,0.0003140484321834011,0.0001651123147875974,0.000027919568972604462,0.00022181602025112993,0.000047037681763923016,0.00005427366243155313,0.0001304955944571362,0.000006382700520487278,0.0000591913326966235,0.00006463273440628569,7.886013122885117e-8,0.000048550865387549524,0.00002649723757544788,0.0000034237396838515912,0.00003291658071040757,0.000008469991078279851,0.000006335386706237429,0.00001919591211075259,0.0000017633315170595172,0.0000067304917825244085,0.000009790455219883738,9.55849033606635e-8,0.000005464045100245491
0.0000011530168321381512,2.635063132351225e-7,0.0000028959097947633493,3.496075002044363e-7,0.0000028088723654432667,0.0000037808381307537703,4.2192447805941026e-7,0.00000819021847565181,0.0000016773245090983417,0.000006509891161565645,0.000011934951823010433,3.172915954319195e-7,0.000021290499568713587,0.000007463397702898613,0.000012650900348578677,0.00003534318787842181,2.148101031158503e-8,0.00004958403097435527,0.00002974435873750174,0.000018838565485830042,0.00009593022267708536,0.0000049048688225314895,0.0001000357057594081,0.00010470362993825774,0.000016820782984723957,0.00023363253279219838,0.000046776454846436476,0.00016556469754066267,0.0003245657738666218,0.0000017294364454246452,0.0004996008220264081,0.00025064930678501024,0.00019945128791101318,0.0008906208715617138,0.00004503053438314264,0.0009122461252075247,0.0010226335220826985,0.00011301807289415539,0.00220416881030671,0.0006269509211673631,0.0013492203241300034,0.0036891106823161565,0.0000217420328885178,0.005219921649369703,0.00447355010747897,0.0013476736252966588,0.014727499170435697,0.003295451633012048,0.015403241937155716,0.04419616549941874,0.0000018378146086070849,0.22358555318445922,0.8218091974827546,0.9686787137595869,0.4197021989567136,0.02255804148933317,0.02955701214827837,0.03217075546454234,0.00003258449536384079,0.0135929618263564,0.00663698963495329,0.000966194995150487,0.006982574102470683,0.0011607116414392492,0.0017914753969958857,0.003314071188431085,0.000046877891377063475,0.001792638656532805,0.0013275310143848636,0.00007406862605187943,0.0013524985642304054,0.00039599866480685513,0.00026291575309836493,0.0008315199730104038,0.00006088957696952821,0.0003444975333493064,0.0004217554814412232,7.433001624713508e-8,0.0003101949022569072,0.00017142146510149087,0.000024956203872131453,0.00022162621515036567,0.000050584674996043565,0.00005130091727723206,0.00013201620148012487,0.0000076221221462369125,0.000057279335213666495,0.0000664004516797068,7.064842842619874e-9,0.00004773350528880016,0.00002781568271283968,0.0000028855746995948325,0.000032809585349856914,0.000009212417765061176,0.0000058075614515612475,0.000019400641652321625,0.000002071086834966727,0.000006380423344641037,0.000010050592366411414,1.6064071806932528e-7
0.0000011133416404180576,0.0000011056604426014895,3.095300124192557e-7,0.0000029087155556023742,2.949538425358129e-7,0.0000029388591341288516,0.0000036669627250431233,5.116127360958798e-7,0.00000825982850422183,0.0000015064191055992687,0.000006831283011882558,0.000011702143233830288,4.342622874699073e-7,0.00002156471284851681,0.000006990344660437216,0.000013348695239832018,0.00003498600831496072,2.485168700789728e-10,0.00005043853976174743,0.0000286347960216356,0.000020086661734477148,0.00009570505687395217,0.000004203399527608146,0.0001021803136342837,0.00010261840339094906,0.00001841917793078738,0.00023447957080643435,0.000044281742111583765,0.00016982006688601333,0.0003217966703312117,0.000002387051998429758,0.000503485346791207,0.00024508846865164697,0.0002056687803785265,0.0008892974908336243,0.00004189201621640798,0.0009213546328332683,0.0010144983139049983,0.00011815244761329099,0.0022087376256735656,0.000617499460781298,0.0013622595827835705,0.0036837933169552276,0.00002013919212465275,0.005231225580564776,0.004464633996354895,0.0013523108369147912,0.014727499170435688,0.003304201762556756,0.015357311094132619,0.04422434759292733,3.3271141705251586e-7,0.22231746973221617,0.8201378738886779,0.9697477732034797,0.4222846622123323,0.02320786404720247,0.029264505306486527,0.032422494915554385,0.00004691676149925267,0.013523186666796817,0.006754393228130222,0.0009175459989537204,0.006987101464897612,0.0012102580832681969,0.0017476601264753149,0.003342983629868064,0.00005636614837740385,0.0017692080708139627,0.0013559531895989494,0.00006490348244017998,0.0013473964645056363,0.00041400358612062613,0.0002498455520417737,0.0008368113632124304,0.00006797843521684376,0.00033494465901973884,0.00042997282883801,1.356554007320832e-8,0.00030587538076522024,0.00017815503591577788,0.000021961212564835598,0.00022123288085445196,0.00005444689718839178,0.00004819032191349276,0.0001335019734344799,0.00000904450463646507,0.00005522926435630869,0.0000682130780607203,1.5256373935999912e-8,0.00004681851020179998,0.00002919932828299292,0.0000023655231857926934,0.00003264885299808695,0.000010010624557631423,0.000005269565628335009,0.00001958375662012626,0.0000024161556899072167,0.000006012676837560491,0.00001030728176601595
4.247397055969078e-8,0.0000011588349042632174,0.0000010592242003776889,3.567383393396237e-7,0.000002916650097405342,2.4652249282324985e-7,0.0000030619973171324077,0.0000035550351757718758,6.046238350562965e-7,0.000008316842991004194,0.000001350716173236775,0.000007136604766000791,0.000011472128989523504,5.614291286437579e-7,0.000021806712354532185,0.000006552993607308632,0.000014011990375951757,0.00003462777236452125,1.1389614063175637e-8,0.00005121211605972912,0.00002760444352475141,0.00002127059915362151,0.00009545076150705951,0.0000036026390838099613,0.00010412919875181781,0.00010069096691408734,0.000019932130619940846,0.0002351777451181901,0.00004207906502646124,0.00017363856768484037,0.00031927200921101596,0.00000305571941971437,0.000506817998938565,0.00024027820952678304,0.00021105542304447882,0.0008880851040754563,0.00003935696490627432,0.0009287831129220869,0.0010079508239376072,0.00012222283648185905,0.00221209767378835,0.000610773734010342,0.0013709709587939262,0.003680569076208285,0.000019360408737022812,0.005234989188098927,0.004464633996354899,0.001347673625296661,0.014721545414875931,0.003330496063805906,0.015265578999981941,0.044270605114042016,3.470711809842395e-7,0.22054784746142608,0.8179016106001455,0.9711059689101801,0.42551842142514673,0.024016422394240247,0.028911244888496182,0.03271833130879742,0.00006698190053653595,0.013440566988686231,0.00688892598603267,0.0008636257589233476,0.006990608420503361,0.001266671491705124,0.0016990174396081738,0.0033741086287652064,0.00006781866609990983,0.0017430047535165723,0.001386816713719186,0.000055579385346880684,0.0013412212166207895,0.000433730786201369,0.00023597179141501582,0.0008420280125539686,0.00007598405811707891,0.0003246276645059005,0.00043853701849363926,2.829502517555571e-7,0.0003010559435102307,0.00018530559287540925,0.000018970000881099396,0.0002206021461847986,0.00005863628829201734,0.00004495482343123022,0.00013492976242256797,0.000010666367519943605,0.00005304062165826947,0.00007005904305718538,1.1688979187015182e-7,0.00004580002742803656,0.00003064475933572951,0.00000187186741359829,0.00003242811670305692,0.000010865408156163871,0.0000047252971563727925,0.000019740623834626847,0.0000028007213677994367,0.000005628406123946231
9.60302868463624e-7,3.090039109828055e-8,0.0000012015599837331016,0.000001014005340327341,4.046091397939507e-7,0.000002920268078366995,2.0397608131242855e-7,0.0000031781018410045104,0.000003445857143384532,6.996566356614394e-7,0.000008362531834886703,0.000001209610420349529,0.000007425134352218433,0.000011247025643856063,6.957854530096522e-7,0.000022019009480081366,0.0000061507630717771765,0.000014638274528372851,0.000034273681105293356,4.874267768479804e-8,0.00005190863486524381,0.000026654406028871386,0.000022383024456389265,0.00009517859118887008,0.0000030921755202895086,0.00010588552652793678,0.00009892893672696586,0.000021342021718350195,0.00023574706961625012,0.00004015616881002362,0.00017701519191254303,0.00031701489687208144,0.0000037023878610774614,0.0005096244364687702,0.00023621571893411196,0.00021558398208139558,0.0008870301164818487,0.00003738198791182771,0.0009345453009986392,0.0010030177009594506,0.00012517140027037445,0.002214305886959423,0.0006067485738444235,0.0013753321375085952,0.00367948869980978,0.000019360408737022402,0.005231225580564771,0.004473550107478972,0.0013338078507729998,0.01470951217896032,0.003374465225647897,0.015128307610605766,0.04433386832981289,0.000004576798192446885,0.2182824145556835,0.8150938087147235,0.9727409796542461,0.42940708011700796,0.024992422002050554,0.028496106245117007,0.03305733883788833,0.00009435466125473968,0.013344226386874984,0.007040678588141388,0.0008049308031961891,0.006992528387498477,0.0013302726721837893,0.0016455975754438876,0.0034071719481630317,0.00008152485709569403,0.0017139039243804245,0.0014200562428310867,0.00004627149425121527,0.0013338223411396967,0.00045522528438930623,0.00022136013447179574,0.0008470613849525109,0.00008498391871336166,0.0003135421706356431,0.000447394958451525,9.482886269602e-7,0.0002957030694283168,0.00019286191185012517,0.000016021952535176398,0.00021969867649070115,0.00006316338479985892,0.000041610094045445845,0.00013627451059907103,0.000012504272213651167,0.000050714352678555796,0.00007192517509698914,3.2608903648599106e-7,0.000044672708375866905,0.00003214751607607312,0.0000014136527008479467,0.000032141082522756806,0.000011777028230682675,0.000004179257391246809,0.000019866372436395962,0.0000032267762586500176
1.9659716623247416e-7,9.564520178497263e-7,2.1475873115794068e-8,0.0000012414998074720476,9.702585965078602e-7,4.5265533719396917e-7,0.0000029201176320605737,1.6694131680115732e-7,0.0000032870668336372895,0.000003340130950090069,7.954904578281048e-7,0.000008398152517593981,0.0000010824114480576728,0.00000769633074365847,0.000011028729882966366,8.344939369313726e-7,0.000022204104730709463,0.000005782867228709475,0.000015225440889636466,0.000033928469506119934,1.0647426519462113e-7,0.00005253200906865205,0.000025785286247148968,0.000023417481794882605,0.00009489884547755328,0.000002662161747838239,0.00010745275693470308,0.00009733864620116264,0.000022633228836094122,0.00023620570575550744,0.00003850149223472381,0.00017994629278058407,0.00031504507270984185,0.000004298328785699576,0.0005119272771367023,0.00023289777028659528,0.00021923238980458648,0.0008861704071704633,0.0000359319169854651,0.0009386525741956475,0.0009997183912070343,0.00012695696612329666,0.0022154004232069974,0.0006054085827235857,0.001375332137508596,0.003680569076208286,0.000020139192124652543,0.005219921649369706,0.004491360102787328,0.0013108512875518144,0.014691148756809382,0.003436323171997222,0.014945897071105415,0.044412638163802275,0.000016565536935276614,0.21552858312023299,0.8117063633427352,0.9746376491448885,0.43395477521153947,0.02614624650029351,0.0280178663788499,0.03343838097152699,0.00013085548965311195,0.013233191805667115,0.007209719819857275,0.0007420394038426663,0.006992229437562375,0.0014014018445186527,0.0015874746426390066,0.0034418620890556847,0.00009779895680104748,0.0016817806805680953,0.0014555892986158198,0.00003717443925482281,0.001325040721739891,0.00047852747015754925,0.0002060881455998508,0.0008517933074377581,0.00009505736552934066,0.00030168920502168957,0.0004564861451399649,0.0000020796213650771578,0.00028978428827846335,0.00020080837549385567,0.000013160610523291168,0.0002184859368917382,0.00006803688407124255,0.000038174815219229745,0.00013750926799001615,0.000014574583211556878,0.00004825309702512649,0.00007379660814854977,6.575584493833813e-7,0.00004343187612379562,0.00003370197852107292,0.0000010006857687376603,0.00003178151863792554,0.000012745113116613594,0.000003636585353122489,0.000019955927781785823
2.6376483167550785e-7,2.1673319992147692e-7,9.513826086968363e-7,1.4027571522529975e-8,0.000001278666683662295,9.281986424867166e-7,5.004262409226052e-7,0.0000029167343802369568,1.3501871831727505e-7,0.0000033888554836631347,0.0000032384652585292274,8.909886402493207e-7,0.000008424935456786685,9.683664521576756e-7,0.000007949811776271195,0.000010818928755925611,9.748982895792947e-7,0.000022364452275067317,0.0000054483655391058036,0.00001577174453985217,0.000033596417200612166,1.7911669361637232e-7,0.00005308610749904909,0.00002499728196771042,0.00002436834779413954,0.00009462085654375384,0.0000023034212815157967,0.00010883447517996556,0.00009592530340867025,0.000023792068912107593,0.00023656986152750738,0.00003710441039307916,0.00018242929808918385,0.0003133790867742687,0.000004819185962166612,0.0005137458020461698,0.00023032114354182534,0.00022198340910001304,0.0008855353753091525,0.00003498011486207194,0.000941113434694154,0.0009980655990635234,0.0001275548905713826,0.0022154004232069957,0.0006067485738444222,0.0013709709587939242,0.003683793316955228,0.0000217420328885179,0.005201038415345523,0.004518018650664261,0.0012790342570791614,0.01466608101236367,0.003516361256339965,0.014718894077515138,0.04450498517734466,0.000040660991156960956,0.21229548310499158,0.8077297599648191,0.9767779308627862,0.4391660745082697,0.027490002352779513,0.02747524804159514,0.03386008142638227,0.0001785572739957587,0.0131064025448045,0.0073960844060943776,0.0006756188026874555,0.006989014534855989,0.0014804136054867407,0.0015247520814460765,0.003477827791312106,0.00011697892005765938,0.0016465131176390637,0.0014933135245684603,0.000028503115263118136,0.0013147097757065748,0.0005036711480691855,0.00019024663511816973,0.0008560959313601694,0.00010628463305198952,0.00028907636854765895,0.00046574210298492186,0.000003750963334265828,0.0002832689157548019,0.00020912434615390243,0.000010433817553716659,0.0002169265203955881,0.0000732631689381298,0.000034670957309667686,0.00013860524844644113,0.000016893192011618854,0.000045661451429087087,0.0000756567044234215,0.0000011264675758967347,0.00004207371063348739,0.00003530125288109037,6.435178479437663e-7,0.00003134335921027837,0.000013768561034459705,0.000003103085612742995
4.5281128269560805e-7,2.4870830160450305e-7,2.366308304264315e-7,9.453003379944827e-7,8.374870909074065e-9,0.0000013130981496812658,8.880029115166063e-7,5.475080547493384e-7,0.0000029106364162642473,1.0779154139800428e-7,0.0000034834900596121404,0.0000031413815289358816,9.851003400293123e-7,0.00000844407158406778,8.666812072234501e-7,0.000008185332117495982,0.000010619111688875131,0.0000011145312101409723,0.00002250242882534067,0.000005146208952264249,0.000016275760063732654,0.00003328136318426775,2.615980114736442e-7,0.000053574681834731856,0.000024290277130328573,0.000025230766535402864,0.00009435298607428426,0.00000200753787784635,0.00011003424080221513,0.00009469313823535672,0.000024806737509712985,0.00023685371256039193,0.00003595544366186837,0.0001844624619159328,0.00031203046485462347,0.000005245007008549203,0.0005150957147737523,0.00022848297457963372,0.0002238243565049847,0.0008851459823689864,0.00003450870214264344,0.0009419331298866601,0.000998065599063523,0.00012695696612329612,0.0022143058869594236,0.0006107737340103423,0.0013622595827835712,0.0036891106823161595,0.00002425923837677469,0.005174512057883382,0.004553455620946615,0.0012386805672646858,0.014633813716022358,0.0036149401962948043,0.014448003026733592,0.04460854882289821,0.0000819602461376471,0.2085940008802216,0.8031531918875483,0.9791408263248927,0.4450458531119757,0.029037568317290575,0.026866972032968315,0.03432079137277004,0.00023979193569484617,0.01296272113410411,0.007599759321369649,0.0006064328658649462,0.006982122317439986,0.001567671077650764,0.0014575686038739584,0.0035146755595678826,0.00013942493345258487,0.001607985845175919,0.0015331038089753499,0.000020493342524758792,0.0013026568868480524,0.0005306814060977269,0.00017394101360422058,0.000859831828672917,0.00011874568802485819,0.0002757190767670618,0.00047508586229367714,0.000006039935125437485,0.00027612887530393534,0.0002177835220943752,0.000007893805183571305,0.00021498254659433808,0.00007884579331233646,0.00003112404615671566,0.00013953192990543404,0.000019475201419562113,0.00004294624122156243,0.00007748699749693963,0.0000017483062632458005,0.000040595450190866336,0.00003693706304045506,3.534100030639572e-7,0.00003082082422453164,0.00001484543788109262
1.9560708539387015e-12,4.637044159188095e-7,2.3439903559231193e-7,2.5614797381829056e-7,9.384024880473719e-7,4.332705248293356e-9,0.0000013448529295553515,8.498146847494912e-7,5.935237073644468e-7,0.000002902320244952564,8.483389396436684e-8,0.000003571042217587308,0.0000030493210806927044,0.0000010768608765320347,0.000008456701872376455,7.765392384074972e-7,0.000008402762057049195,0.00001043058370649776,0.0000012511192456000437,0.000022620306893853046,0.000004875282379348608,0.000016736340632549755,0.00003298672333349553,3.492654315272566e-7,0.0000540013022143134,0.000023663925110043733,0.00002600058642627439,0.00009410262816284654,0.000001766930996260177,0.00011105545426456534,0.00009364553541262824,0.00002566724900243879,0.00023706934031117663,0.000035046431708734377,0.00018604465023548724,0.0003110098476782524,0.000005560262378294387,0.0005159889536757662,0.00022738102279147305,0.00022474689688870377,0.0008850147899851994,0.000034508702142643224,0.0009411134346941537,0.000999718391207034,0.00012517140027037412,0.00221209767378835,0.0006174994607812983,0.0013492203241300047,0.0036964363342675745,0.000027825653800016715,0.0051402556346141545,0.0045975735210988244,0.001190208847559146,0.014593733799172453,0.003732479488892727,0.014134099482692798,0.04472053738268742,0.0001462441159296449,0.20443682373908248,0.7979646985520098,0.981702317315459,0.45159914884270297,0.03080464864167349,0.02619181861541518,0.03481855303799938,0.00031715644057270215,0.0128009463852134,0.007820668464926484,0.0005353500067793806,0.006970728557591547,0.0016635391524792958,0.0013861046390720817,0.003551967309461513,0.0001655174497549187,0.0015660939303388125,0.0015748092676172874,0.000013402346179229483,0.0012887051392245857,0.0005595722743879914,0.00015729263717727683,0.0008628542530194842,0.00013251889935501777,0.00026164187646253727,0.00048443149481029453,0.000009027271962144255,0.0002683396150087987,0.0002267532857335795,0.000005597218167600898,0.00021261613923069137,0.00008478492991601362,0.000027563410083398334,0.00014025720553703102,0.000022334568703711402,0.000040116798289183096,0.00007926716078644447,0.000002538707262577939,0.00003899560920220733,0.000038599648993008397,1.422778773016294e-7,0.000030208555521245273
2.8980382202788544e-7,3.0897523944200877e-10,4.7364501775060236e-7,2.20873603365614e-7,2.7515710051487575e-7,9.308766098633053e-7,1.7145293069209117e-9,0.0000013740070603381327,8.13746367796191e-7,6.381321276151827e-7,0.000002892257521159867,6.571801903027818e-8,0.000003651623687372542,0.0000029626524627524407,0.0000011653908381923424,0.000008463908760894307,6.971192173427155e-7,0.000008602067005226717,0.000010254479378901789,0.0000013825850420413831,0.000022720231772173173,0.000004634443586360013,0.000017152578723213643,0.00003271550928556191,4.379031088788758e-7,0.00005436930100301628,0.000023117724807548818,0.000026674300015968417,0.00009387621696907645,0.000001574918431393254,0.00011190124164570025,0.00009278515221634065,0.000026365379337234285,0.00023722668428403384,0.00003437067810522847,0.00018717516469003975,0.000310325109420495,0.000005753855202639639,0.0005164335531893503,0.00022701386783542465,0.00022474689688870323,0.000885145982368986,0.00003498011486207219,0.0009386525741956466,0.0010030177009594517,0.00012222283648185908,0.0022087376256735678,0.0006269509211673625,0.0013318875073381913,0.0037056509464205396,0.00003261990214561387,0.005098161515266854,0.004650244130924165,0.0011341340663720196,0.014545114593479265,0.003869444690037403,0.013778245859701551,0.04483772909920533,0.0002399004926130228,0.19983848705373203,0.7921513241060795,0.9844352945829388,0.4588309983900311,0.03280882911377357,0.025448698952007524,0.03535106022638238,0.00041351783360628395,0.012619828864094716,0.008058655798486636,0.0004633512587989967,0.006953948488587927,0.0017683768012389728,0.0013105891796384678,0.0035892182186040887,0.0001956547026066768,0.0015207472788179653,0.001618250163228431,0.0000075089964988923655,0.0012726753757147683,0.000590344209742254,0.00014044010977097533,0.000865007596706279,0.00014767951958238288,0.0002468798198708901,0.000493683733302359,0.000012796193951217155,0.0002598811147648754,0.000235994057840158,0.0000036050611599390002,0.0002097899860310213,0.00009107678684330833,0.000024022397834118643,0.0001407475935405459,0.00002548370716641428,0.00003718523958280508,0.00008097500764573703,0.0000035132336022480856,0.00003727420991927481,0.00004027767772507486,2.2612981081381075e-8
1.0839107787784628e-7,2.860566083819713e-7,1.0891694586683492e-9,4.8267246666756e-7,2.0815710659139244e-7,2.9354475640071325e-7,9.228995450485271e-7,3.349431531163592e-10,0.0000014006501990133199,7.798828545772563e-7,6.810270263711053e-7,0.0000028808925778301138,5.002078375891938e-8,0.00000372537751375366,0.000002881679032133341,0.0000012498941733989021,0.000008466709184559237,6.276105948229424e-7,0.00000878328821215649,0.000010091777117646303,0.0000015070474963345224,0.000022804202137597338,0.000004422558002071974,0.000017523769226647238,0.00003247034836366761,5.237453282280727e-7,0.00005468172409833481,0.000022651088582877098,0.000027248988586467117,0.00009367923701738603,0.0000014257674902281964,0.00011257435602282263,0.00009211402139199334,0.00002689461584784321,0.00023733350806419553,0.000033923063145968686,0.00018785360561141082,0.0003099814485413423,0.000005819126091947534,0.0005164335531893506,0.0002273810227914731,0.00022382435650498432,0.0008855353753091514,0.00003593191698546532,0.0009345453009986385,0.001007950823937606,0.00011815244761329097,0.002204168810306707,0.0006391623023669954,0.001310308503633043,0.00371660018948838,0.000038863325443942754,0.0050481045091137315,0.004711304386923359,0.00107106923868502,0.01448712114123721,0.004026332222939832,0.013381709178654878,0.04495647509714302,0.00036983680711777026,0.19481542169612684,0.7856993001535769,0.9873094843911872,0.4667462513942058,0.035069633035760384,0.024636737267944853,0.03591561552436125,0.0005320167041080893,0.01241808909272415,0.008313466890803192,0.00039153830583218464,0.006930840167023672,0.001882528343014883,0.001231307023542511,0.003625894913926059,0.00023024958523048565,0.0014718754608373738,0.001663214773606814,0.0000031137519226906233,0.0012543886250006911,0.0006229813843775824,0.0001235405027356617,0.000866128078338778,0.0001642979677709505,0.0002314798812609721,0.0005027376940794218,0.000017431622283747195,0.00025073898574546005,0.00024545866959627507,0.0000019825521061008,0.0002064679912199117,0.0000977129953374422,0.000020538556395821766,0.00014096851187095323,0.000028933045687627803,0.00003416674068859341,0.0000825865293052343,0.000004687128334998306,0.000035433026072904135,0.00004195816926736505
5.3212797907172935e-8,1.1523857967150292e-7,2.82188388213567e-7,2.2708475677127004e-9,4.90830805976326e-7,1.9626452730379906e-7,3.112109115055512e-7,9.14636738531091e-7,1.1983275304444108e-11,0.0000014248821892640348,7.482849098553702e-7,7.219353570748068e-7,0.0000028686406043922964,3.732938461130904e-8,0.000003792469789364005,0.000002806646500717624,0.000001329655568398565,0.000008466049069172665,5.672274691998054e-7,0.000008946524736157604,0.00000994331336862765,0.0000016228202583623397,0.00002287405377433381,0.000004238530139663211,0.000017849375275491978,0.00003225350327090225,6.034858727142935e-7,0.000054941289597854935,0.000022263401633433332,0.00002772227192581153,0.00009351623503150313,0.0000013147359907105526,0.00011307709628400689,0.00009163363421939535,0.000027250113827083066,0.00023739537325673149,0.00003370012737952496,0.00018807977272289008,0.00030998144854134206,0.0000057538552026397166,0.0005159889536757657,0.0002284829745796338,0.00022198340910001253,0.0008861704071704639,0.00003738198791182748,0.0009287831129220872,0.0010144983139049983,0.00011301807289415545,0.002198315903825486,0.0006541757468179121,0.00128454506542784,0.003729094106893585,0.00004681860378681239,0.00498994572852416,0.004780551481808206,0.0010017271503962176,0.014418816734109463,0.004203651865344152,0.012945980257087486,0.0450727047403804,0.0005433816217204983,0.18938600370608788,0.7785942487204243,0.9902913766875152,0.47534935809388257,0.03760857823287927,0.023755365034784644,0.036509084823461456,0.0006760685926109211,0.012194438833631763,0.008584728886651554,0.00032114122968605034,0.00690040908103275,0.0020063135979190684,0.0011486063281478482,0.003661414071122062,0.00026972584338395725,0.0014194329915118353,0.00170945628311794,5.382360059928525e-7,0.0012336689241867708,0.0006574488285423932,0.00010677046085229828,0.0008660446938175763,0.00018243790703338376,0.00021550240183291832,0.0005114787341460061,0.000023019225163020737,0.00024090565755984734,0.0002550917697032407,7.988676754031047e-7,0.00020261601823397252,0.00010467997852802515,0.000017153757857417802,0.00014088462570393013,0.00003269054833155001,0.00003107979749529129,0.00008407597681531781,0.000006075025240120503,0.000033475835464940747
1.62143961467722e-7,4.927927788950032e-8,1.2181831309934774e-7,2.7825731804192884e-7,3.783918070243864e-9,4.981674692731637e-7,1.8520208509121267e-7,3.2806817242979795e-7,9.062418183437838e-7,5.69095709531053e-10,0.0000014468098529188372,7.189925244370975e-7,7.606154575211606e-7,0.000002855886402944777,2.724632229197122e-8,0.000003853082037325131,0.000002737750346576792,0.000001404037233828405,0.000008462799106839437,5.152208611163365e-7,0.000009091916813443487,0.000009809796433793404,0.0000017284090901646933,0.00002293144610326355,0.00000408133092195281,0.000018128997271411647,0.000032066891295324886,6.74284407595596e-7,0.00005515035307502603,0.000021954073404053242,0.00002809226459628252,0.0000933908314300832,0.0000012381042974668838,0.00011341124269232682,0.00009134500831819684,0.00002742866242880103,0.00023741562319450494,0.000033700127379524916,0.00018785360561141034,0.00031032510942049504,0.000005560262378294364,0.0005150957147737526,0.00023032114354182517,0.00021923238980458616,0.0008870301164818486,0.00003935696490627443,0.0009213546328332677,0.0010226335220826985,0.00010689439965693307,0.002191085712056701,0.0006720399968061955,0.001254674985318846,0.0037429064376109664,0.00005678799878077699,0.004923537163216627,0.004857737384188942,0.0009269219981687885,0.014339170812466315,0.004401906994982992,0.012472794232401083,0.045181934130951396,0.0007681757480072556,0.18357059986544316,0.7708214102404154,0.9933441555238849,0.4846441379681876,0.0404492301918815,0.022804428035194953,0.03712784979098094,0.0008493625949394544,0.011947605668232796,0.008871929081602508,0.00025352573477793717,0.006861614201701118,0.002140016950119943,0.00106290637847852,0.003695141594694332,0.0003145134822154823,0.0013634050572989076,0.0017566897754306451,1.243808321906771e-7,0.0012103465547240358,0.0006936894201138022,0.00009032713078720505,0.0008645804678170887,0.00020215411695402184,0.00019902253378611753,0.0005197824706672302,0.000029644279678357855,0.00023038164448163813,0.00026482928815581253,1.2676380776261648e-7,0.00019820273127463126,0.00011195831027198641,0.00001391426213093035,0.0001404602741584667,0.00003676119655752838,0.00002794646836514924,0.00008541599437532894,0.000007690618767313401
